length,prefix,ppl,tokens
1024,random_words,9.363784600548518,1024
1024,instruction,9.363784600548518,1024
1024,baseline,13.5521726658445,1024
1024,whitespace,13.5521726658445,1024
1024,punctuation,13.5521726658445,1024
1024,random_words,13.5521726658445,1024
1024,instruction,13.5521726658445,1024
1024,baseline,16.471006415952345,1024
1024,whitespace,16.471006415952345,1024
1024,punctuation,16.471006415952345,1024
1024,random_words,16.471006415952345,1024
1024,instruction,16.471006415952345,1024
1024,baseline,8.198451174566921,1024
1024,whitespace,8.198451174566921,1024
1024,punctuation,8.198451174566921,1024
1024,random_words,8.198451174566921,1024
1024,instruction,8.198451174566921,1024
1024,baseline,16.237335042263535,1024
1024,whitespace,16.237335042263535,1024
1024,punctuation,16.237335042263535,1024
1024,random_words,16.237335042263535,1024
1024,instruction,16.237335042263535,1024
1024,baseline,10.575087059645167,1024
1024,whitespace,10.575087059645167,1024
1024,punctuation,10.575087059645167,1024
1024,random_words,10.575087059645167,1024
1024,instruction,10.575087059645167,1024
1024,baseline,11.908441002181577,1024
1024,whitespace,11.908441002181577,1024
1024,punctuation,11.908441002181577,1024
1024,random_words,11.908441002181577,1024
1024,instruction,11.908441002181577,1024
1024,baseline,13.272814442694203,1024
1024,whitespace,13.272814442694203,1024
1024,punctuation,13.272814442694203,1024
1024,random_words,13.272814442694203,1024
1024,instruction,13.272814442694203,1024
1024,baseline,11.875571677085839,1024
1024,whitespace,11.875571677085839,1024
1024,punctuation,11.875571677085839,1024
1024,random_words,11.875571677085839,1024
1024,instruction,11.875571677085839,1024
1024,baseline,11.602009458624424,1024
1024,whitespace,11.602009458624424,1024
1024,punctuation,11.602009458624424,1024
1024,random_words,11.602009458624424,1024
1024,instruction,11.602009458624424,1024
1024,baseline,11.842149326869158,1024
1024,whitespace,11.842149326869158,1024
1024,punctuation,11.842149326869158,1024
1024,random_words,11.842149326869158,1024
1024,instruction,11.842149326869158,1024
1024,baseline,13.464070595657045,1024
1024,whitespace,13.464070595657045,1024
1024,punctuation,13.464070595657045,1024
1024,random_words,13.464070595657045,1024
1024,instruction,13.464070595657045,1024
